id,term, knowledge area
2660,CRYPTOGRAPHIC HASHES,F
2661,CRYPTOGRAPHIC HASHING,F
2662,CRYPTOGRAPHIC IMPLEMENTATION,AC
2663,CRYPTOGRAPHIC KEYS,C
2664,CRYPTOGRAPHIC LIBRARIES,HF;FMS;AC;FM;SS
2665,CRYPTOGRAPHIC MODULE,HS
2666,CRYPTOGRAPHIC MODULES,HS
2667,CRYPTOGRAPHIC PRIMITIVES,HS;PLS;AC;POR;LR;INTRO;C;FM;DSS
2668,CRYPTOGRAPHIC PROTOCOLS,HS;PLS;FMS;POR;LR;C;FM;DSS
2669,CRYPTOGRAPHIC SAFETY FACTOR,C
2670,CRYPTOGRAPHIC SCHEME,LR;DSS;C;AC
2671,CRYPTOGRAPHIC SECURITY,FMS
2672,CRYPTOGRAPHIC SECURITY MODELS,C
2673,CRYPTOGRAPHIC STANDARDS,SSL
2674,CRYPTOGRAPHIC STRENGTH,C
2675,CRYPTOGRAPHIC SYNTAX,C
2676,CRYPTOGRAPHIC SYSTEMS,C
2677,CRYPTOGRAPHICALLY GENERATED ADDRESS,NS
2678,CRYPTOGRAPHICALLY OPINIONATED,AC
2679,CRYPTOGRAPHY,OSV;HF;HS;AC;SSL;CPS;INTRO;F;FM;DSS;PLS;AAA;SS;POR;NS;LR;C;WAM
2680,CRYPTOGRAPHY    HISTORY,C
2681,CRYPTOGRAPHY   ASYMMETRIC,C
2682,CRYPTOGRAPHY   ASYMMETRIC   ALGORITHMS,C
2683,CRYPTOGRAPHY   ASYMMETRIC   CONFIDENTIAL MESSAGES,C
2684,CRYPTOGRAPHY   ASYMMETRIC   DIFFIE HELLMAN,C
2685,CRYPTOGRAPHY   ASYMMETRIC   ECC,C
2686,CRYPTOGRAPHY   ASYMMETRIC   EL GAMAL,C
2687,CRYPTOGRAPHY   ASYMMETRIC   OPEN MESSAGES,C
2688,CRYPTOGRAPHY   ASYMMETRIC   RSA,C
2689,CRYPTOGRAPHY   DIGITAL SIGNATURES,C
2690,CRYPTOGRAPHY   HASH ENCRYPTION,AC
2691,CRYPTOGRAPHY   HASH FUNCTIONS,C
2692,CRYPTOGRAPHY   HASH FUNCTIONS   ATTACKS,C
2693,CRYPTOGRAPHY   HASH FUNCTIONS   HAVAL,C
2694,CRYPTOGRAPHY   HASH FUNCTIONS   MD  MESSAGE DIGEST  2 4 AND 5,C
2695,CRYPTOGRAPHY   HASH FUNCTIONS   RIPEMD 160,C
2696,CRYPTOGRAPHY   HASH FUNCTIONS   SHA  SECURE HASH ALGORITHM  0 1 AND 2,C
2697,CRYPTOGRAPHY   HMAC,C
2698,CRYPTOGRAPHY   HYBRID,C
2699,CRYPTOGRAPHY   MAC  MESSAGE AUTHENTICATION CODE ,C
2700,CRYPTOGRAPHY   MESSAGE DIGESTS,C
2701,CRYPTOGRAPHY   NON REPUDIATION,C
2702,CRYPTOGRAPHY   PGP,C
2703,CRYPTOGRAPHY   QUANTUM CRYPTOGRAPHY,C
2704,CRYPTOGRAPHY   SYMMETRIC,C
2705,CRYPTOGRAPHY   SYMMETRIC   DES,C
2706,CRYPTOGRAPHY AND ACCESS CONTROL,AAA
2707,CRYPTOGRAPHY CRYPTOLOGY OR?,C
2708,CRYPTOGRAPHY IS A MONGREL,AC
2709,CRYPTOGRAPHY IS BOTH MAGICAL AND NOT MAGICAL,AC
2710,CRYPTOGRAPHY IS POLITICAL,AC
2711,CRYPTOGRAPHY MODULE,OSV
2712,CRYPTOGRAPHY AS A SERVICE,AC
2713,CRYPTOGRAPHY BASED ACCESS CONTROL,POR
2714,CRYPTOJACKING,AB
2715,CRYPTOL,FM
2716,CRYPTOLOGY,C
2717,CRYPTOSYSTEM,C
2718,CRYPTOVARIABLE,C
2719,CRYPTOVERIF,FM;INTRO
2720,CRYPTOWALL RANSOMWARE,AB
2721,CSA STAR CERTIFICATION,RMG
2722,CSFS  CRITICAL SUCCESS FACTORS ,SO
2723,CSIRT,SO;LR
2724,CSM  CONFIGURATION SETTING MANAGEMENT ,SO
2725,CSMA  CARRIER SENSE MULTIPLE ACCESS ,PLS
2726,CSMA CA  CARRIER SENSE MULTIPLE ACCESS WITH COLLISION AVOIDANCE ,PLS
2727,CSMA CD  CARRIER SENSE MULTIPLE ACCESS WITH COLLISION DETECTION ,PLS
2728,CSO  CHIEF SECURITY OFFICER ,RMG
2729,CSP,FM
2730,CSS,SS
2731,CSS INJECTION,SS
2732,CT,CPS
2733,CT VERIF,FM
2734,CTO  CHIEF TECHNOLOGY OFFICER ,RMG
2735,CTR,C
2736,CTR  COUNTER  BLOCK CIPHER MODE,C
2737,CTRL ALT HACK,HF
2738,CULT OF THE DEAD COW,AB
2739,CULTURAL DIFFERENCES IN ETHICAL PRACTICE,LR
2740,CULTURAL NEEDS,HF
2741,CULTURE,CPS;LR;HF;INTRO;AC;SSL;RMG
2742,CULTURE   AND SECURITY PROGRAMS,HF
2743,CULTURE   AS ENABLERS,HF
2744,CULTURE   AS INFORMATION SECURITY STRATEGY CONSTRAINT,HF
2745,CULTURE   DYNAMIC INTERCONNECTIONS WITH,HF
2746,CULTURE   IN INFORMATION SECURITY,HF
2747,CULTURE   IN SECURITY PROGRAMS,HF
2748,CURRENT,HS
2749,CURRENT RISK,SO;RMG
2750,CURRENT RISK STATE OF,RMG
2751,CURRENT STATE OF INCIDENT RESPONSE CAPABILITY,RMG
2752,CURVE25519,FM
2753,CUSTODIAL RECORD,F
2754,CUSTODIAL SENTENCES,LR
2755,CUSTODIANSHIP,SO
2756,CUSTODY,LR
2757,CUSTOM DOMAIN,SSL
2758,CUSTOMER COMPLAINT,AB
2759,CUSTOMER ENQUIRY,HF
2760,CUSTOMER QUOTATION,HF
2761,CUSTOMER RESPONSE,SSL
2762,CUSTOMER SATISFACTION,HF
2763,CUSTOMER SUPPORT,AB
2764,CUSTOMERS DON'T APPLY PATCHES,SSL
2765,CVC4,FM
2766,CVE,SO
2767,CVE  COMMON VULNERABILITIES AND EXPOSURES ,SO
2768,CVES AND CWES,SS
2769,CVSS,SO;SSL
2770,CVSS: SHARING VULNERABILITY AND RISK INSIGHT,SO
2771,CWE,SO
2772,CYBER ATTACK,AB
2773,CYBER ATTRIBUTION,AAA
2774,CYBER CRIME,F
2775,CYBER CRIMES AND DATA BREACHES,LR
2776,CYBER DEFENCE,RMG;F
2777,CYBER DEFENCE ALLIANCE,RMG
2778,CYBER DOMAIN,F
2779,CYBER ESPIONAGE IN PEACETIME,LR
2780,CYBER EXTORTION,AB
2781,CYBER INFORMATION SHARING PARTNERSHIP,RMG
2782,CYBER INSURANCE MODELS,SO
2783,CYBER KILL CHAIN,MAT;AB
2784,CYBER OFFENCE,AB
2785,CYBER READINESS INDEX,RMG
2786,CYBER SECURITY ACT,LR
2787,CYBER SECURITY CREDENTIALS COLLABORATIVE,LR
2788,CYBER SECURITY DEFINITION,INTRO
2789,CYBER SECURITY KNOWLEDGE MANAGEMENT,SO
2790,CYBER TERRORISM,INTRO;AB
2791,CYBER WARFARE,MAT;CPS;INTRO
2792,CYBER WARFARE   NATION STATE ACTORS,AB
2793,CYBER CONFLICT,CPS
2794,CYBER DEPENDENT CRIME,AB
2795,CYBER DEPENDENT ORGANIZED CRIME,AB
2796,CYBER ENABLED CRIME,AB
2797,CYBER ENABLED CRIME VS CYBER DEPENDENT CRIME,AB
2798,CYBER ENABLED ORGANIZED CRIME,AB
2799,CYBER EVENT,CPS
2800,CYBER INSURANCE,CPS;SO
2801,CYBER PHYSICAL SYSTEM,OSV;PLS;RMG;SSL;CPS;NS;INTRO;SO
2802,CYBER PHYSICAL SYSTEMS,CPS
2803,CYBER RESPONDER,SO
2804,CYBER THREAT INTELLIGENCE,SO
2805,CYBER THREAT INTELLIGENCE  CTI ,SO
2806,CYBERBULLYING,AB;POR
2807,CYBERCRIME,CPS;LR;INTRO;F;MAT;AB
2808,CYBERCRIME CONVENTION COMMITTEE,LR
2809,CYBERCRIME HOTSPOT,AB
2810,CYBERCRIMINAL,CPS;INTRO;AB
2811,CYBERCRIMINALS,CPS
2812,CYBERSA,SO
2813,CYBERSECURITY  INSURANCE COVERAGE ,SO
2814,CYBERSPACE,CPS;LR;INTRO
2815,CYBERSTALKING,AB
2816,CYBERSURVIVAL TASK,HF
2817,CYBERWEAPON,CPS
2818,CYCLIC REDUNDANCY CHECK,NS
2819,CYCLICAL REDUNDANCY CHECK  CRC ,C
2820,DAC  DISCRETIONARY ACCESS CONTROL ,AAA
2821,DAFNY,FM
2822,DAMAGE ASSESSMENT TEAMS,SO
2823,DAMAGE EVALUATION,SO
2824,DAMAGE OF INFORMATION,INTRO
2825,DANGEROUS FUNCTIONS,SS
2826,DANGEROUS PERMISSIONS,AAA
2827,DANGLING POINTER,SS;FM
2828,DAR  DATA AT REST ,DSS
2829,DARPA,SO;SSL
2830,DARPA CYBER GRAND CHALLENGE,SO
2831,DAS  DIRECT ATTACHED STORAGE ,OSV
2832,DATA,SO;SSL
2833,DATA   ACCESS,SO
2834,DATA   ACCESS CONTROL,OSV
2835,DATA   ANALOG,NS
2836,DATA   AT REST,POR
2837,DATA   AUDIT,SO
2838,DATA   BREACHES,SO;LR
2839,DATA   CENTER BRIDGING EXCHANGE PROTOCOL  DCBX ,NS
2840,DATA   CLEANING,SO
2841,DATA   COMMUNICATIONS,NS
2842,DATA   CONNECTIVITY,HS
2843,DATA   CUSTODIAN,SO
2844,DATA   CUSTODIANSHIP,SO
2845,DATA   DEGAUSSING,SO
2846,DATA   DIDDLING,AB
2847,DATA   DIGITAL,NS
2848,DATA   DISCLOSURE,SO;LR
2849,DATA   DISPOSAL,SO;LR
2850,DATA   DLP,SO
2851,DATA   DLP   BLOCKING,SO
2852,DATA   DLP   DATA DISCOVERY,SO
2853,DATA   DLP   DETECTION MONITORING,SO
2854,DATA   DLP   LABELING,SO
2855,DATA   DLP   POLICY CREATION,SO
2856,DATA   DLP   PREVENTING,SO
2857,DATA   DLP   REPORTING,SO
2858,DATA   DOCUMENTATION,SO
2859,DATA   ENCRYPTION KEYS,C
2860,DATA   ENCRYPTION STANDARD  DES ,C
2861,DATA   ENCRYPTION STANDARD  DES    DOUBLE DES,C
2862,DATA   ENCRYPTION STANDARD  DES    TRIPLE DES  3DES ,C
2863,DATA   ERASING,SO
2864,DATA   EXECUTION PREVENTION  DEP ,OSV
2865,DATA   FLOW CONTROL,SS
2866,DATA   HIDING,SSL
2867,DATA   HISTORIAN,CPS
2868,DATA   IN TRANSIT,POR
2869,DATA   INFORMATION   BUSINESS OWNERS,RMG;SO
2870,DATA   INFORMATION   CUSTODIAN STEWARD,RMG;SO
2871,DATA   IRM,AAA
2872,DATA   LEAK LOSS PREVENTION  DLP ,SO
2873,DATA   LIFECYCLE CONTROL,SO
2874,DATA   MANAGEMENT,SO
2875,DATA   MINING,POR
2876,DATA   OUTPUT,F
2877,DATA   OVERWRITING,SO
2878,DATA   OWNER,SO
2879,DATA   OWNERSHIP,SO
2880,DATA   POLICY,SO
2881,DATA   PUBLISHING,SO
2882,DATA   QUALITY,SO
2883,DATA   REFORMATTING,SO
2884,DATA   REMANENCE,SO
2885,DATA   RETENTION,SO;LR
2886,DATA   SCRUBBING,POR
2887,DATA   SECURITY,POR
2888,DATA   STANDARDS,SO
2889,DATA   STORAGE,HS
2890,DATA   VULNERABILITIES   DEDUPLICATION,SO
2891,DATA   VULNERABILITIES   DISPOSAL,SO;LR
2892,DATA   VULNERABILITIES   ENCRYPTION KEYS,C
2893,DATA   VULNERABILITIES   IRM,AAA
2894,DATA   VULNERABILITIES   OUTPUT,F
2895,DATA   VULNERABILITIES   RETENTION,SO;LR
2896,DATA   VULNERABILITIES   SCRUBBING,POR
2897,DATA   VULNERABILITIES   STORAGE,HS
2898,DATA  DRIVEN RISK: THE SDLC PERSPECTIVE,SSL
2899,DATA ABSTRACTION LAYERS,F
2900,DATA ACCESS CENSORSHIP RESISTANCE,POR
2901,DATA ACQUISITION,F
2902,DATA AGGREGATION,SO;POR
2903,DATA ANALYSIS,CPS;LR;RMG;SO;F
2904,DATA ANALYSIS EVENT DATA ANALYSIS,SO
2905,DATA ANALYTICS AS A SERVICE,DSS
2906,DATA ANONYMIZATION,POR
2907,DATA AT REST,HS;AC
2908,DATA BACKUPS,MAT
2909,DATA BIASES,POR
2910,DATA BUSES,F;SSL
2911,DATA CAPTURE,CPS
2912,DATA CARVING,F
2913,DATA CATEGORIZATION,AAA
2914,DATA CENTER,DSS
2915,DATA CENTRE,NS;INTRO;LR;SSL;DSS
2916,DATA CHAIN,DSS
2917,DATA CLASSIFICATION,AAA
2918,DATA CLASSIFICATION   DOCUMENTATION,SO;POR
2919,DATA CLASSIFICATION   LLC  LOGICAL LINK CONTROL ,NS
2920,DATA CLASSIFICATION   MAC  MEDIA ACCESS CONTROL ,NS
2921,DATA CLASSIFICATION AND ACCESS CONTROL,AAA
2922,DATA CLUSTER,SO;F
2923,DATA COLLECTION,SO;POR;LR;F
2924,DATA COLLECTION   RISK ASSESSMENT PROCESS,RMG
2925,DATA COLLECTION AND EXTRACTION TOOLS AND TECHNIQUES,SO
2926,DATA COMMUNICATION,NS
2927,DATA CONFIDENTIALITY,POR
2928,DATA CONSISTENCY,CPS;DSS
2929,DATA CONTROLLER,LR
2930,DATA CONTROLLERS,LR
2931,DATA CUSTODIAN,DSS
2932,DATA CUSTODIANS,LR
2933,DATA DECLASSIFICATION,INTRO;FM
2934,DATA DELETION,LR
2935,DATA DICTIONARY,OSV
2936,DATA DICTIONARY DIRECTORY SYSTEM  DD DS ,OSV
2937,DATA DIDDLING,AB
2938,DATA DIODE,CPS
2939,DATA DISCOVERY,DSS
2940,DATA DISSEMINATION,DSS;POR;LR
2941,DATA ECONOMY,LR
2942,DATA ENCAPSULATION MECHANISM,AC
2943,DATA ENCRYPTION,C
2944,DATA ENCRYPTION AND KEY MANAGEMENT,SSL
2945,DATA ENCRYPTION KEY,AC
2946,DATA ENCRYPTION MECHANISM,C;SSL
2947,DATA ENCRYPTION MECHANISMS,C
2948,DATA ENCRYPTION STANDARD  DES ,C
2949,DATA ENCRYPTION STANDARDS AND TRIPLE,C
2950,DATA EXCHANGE,PLS;SO;WAM
2951,DATA EXECUTION PREVENTION,CPS;OSV
2952,DATA EXPORT COMPLIANCE,LR
2953,DATA FILE CONTROL PROCEDURES,F
2954,DATA FILTERING,SO
2955,DATA FLOW,DSS;MAT;SSL
2956,DATA FLOW ANALYSIS,MAT
2957,DATA FLOW DIAGRAM,SSL
2958,DATA FORMAT,SO
2959,DATA FRAME,NS
2960,DATA GOVERNANCE,RMG
2961,DATA HIDING,SSL
2962,DATA HISTORIAN,CPS
2963,DATA IN TRANSIT,NS;POR;SSL;AC;DSS;F
2964,DATA IN USE,HS
2965,DATA INTEGRILY,OSV
2966,DATA INTEGRITY,OSV
2967,DATA ISSUES WITH EMERGING TECHNOLOGIES,POR
2968,DATA LAW,LR
2969,DATA LEAK,AB
2970,DATA LEAK PROTECTION  DLP ,OSV
2971,DATA LEAKAGE,POR
2972,DATA LEAKS,AB
2973,DATA LOCALISATION,LR
2974,DATA LOCALIZATION AND JURISDICTION,LR
2975,DATA LOCALIZATION OR RESIDENCY,LR
2976,DATA MANAGEMENT,SO;AAA
2977,DATA MASKING,C;SSL
2978,DATA MINIMISATION,LR
2979,DATA MINING,AC;DSS;POR
2980,DATA MODELING,SSL
2981,DATA MODIFICATION,DSS
2982,DATA NORMALIZATION,POR
2983,DATA OBFUSCATION,C
2984,DATA ORIGIN AUTHENTICATION,AC;AAA
2985,DATA OWNER,POR;LR
2986,DATA OWNER SENSITIVITY ASSESSMENT RESPONSIBILITY OF,POR
2987,DATA OWNERS,LR
2988,DATA OWNERSHIP,F
2989,DATA PATTERN,NS;CPS;POR;SSL;SO;F
2990,DATA PERTURBATION,POR
2991,DATA PLANE,NS;OSV
2992,DATA POINT,SO;POR;F
2993,DATA POINTER,OSV
2994,DATA POISONING,MAT
2995,DATA POLICY,RMG
2996,DATA PROCESSING,INTRO;F;POR;LR
2997,DATA PROCESSOR,POR
2998,DATA PROCESSORS,LR
2999,DATA PROTECTION,INTRO;F;LR
3000,DATA PROTECTION CLAUSE,LR
3001,DATA PROTECTION DIRECTIVES,LR
3002,DATA PROTECTION IMPACT ASSESSMENT,LR
3003,DATA PROTECTION METHODS,INTRO
3004,DATA PUBLISHING CENSORSHIP RESISTANCE,POR
3005,DATA QUALITY,INTRO
3006,DATA RECOVERY,RMG;F;MAT
3007,DATA RECOVERY & FILE CONTENT CARVING,F
3008,DATA REDUNDANCY,SO
3009,DATA REMANENCE,LR
3010,DATA REPRESENTATION,F
3011,DATA RETENTION,POR;LR
3012,DATA RETENTION POLICIES,LR
3013,DATA RETENTION POLICY,LR
3014,DATA RISK,LR
3015,DATA SCIENCE,F
3016,DATA SECURITY,WAM;POR;LR;AC;DSS;F
3017,DATA SENSITIVITY,AAA
3018,DATA SENSITIVITY   ASSESSMENT PROCESS,SO
3019,DATA SENSITIVITY   ASSESSMENT RESPONSIBILITY,SO
3020,DATA SENSITIVITY   CHANGES IN,RMG
3021,DATA SENSITIVITY   RANKING,SO
3022,DATA SEPARATION,FM
3023,DATA SMEARING,F
3024,DATA SOURCE,NS;F;POR;DSS;SO;AC
3025,DATA SOVEREIGNTY,LR
3026,DATA STATES AND PROTECTION,POR
3027,DATA STEWARDS,LR
3028,DATA STORAGE,DSS;C;AC;LR
3029,DATA STORAGE AND RETRIEVAL,DSS;C
3030,DATA STORAGE AS A SERVICE,DSS
3031,DATA STORE,SSL
3032,DATA STREAM,SO;AC
3033,DATA STRUCTURE,WAM;PLS;FM;DSS;SO;F;MAT
3034,DATA SUBJECT,LR
3035,DATA SUBJECT PERSONAL DATA  AND PII ,LR
3036,DATA SUPPRESSION,POR
3037,DATA TERMINAL EQUIPMENT,HS
3038,DATA TOKENIZATION,POR
3039,DATA TRANSFER,NS;WAM;LR;SSL;F
3040,DATA TRANSFER UNIT,F
3041,DATA TRANSPORT,DSS
3042,DATA TRANSPORTATION,DSS
3043,DATA TRIAGE,F
3044,DATA UNDER COMPUTATION,AC
3045,DATA VALIDITY,F
3046,DATA WAREHOUSE,DSS
3047,DATA WIPING,SO
3048,DATA DEPENDENCY,PLS
3049,DATA DRIVEN ANALYTICS,CPS
3050,DATA DRIVEN APPROACH,CPS
3051,DATA FLOW GRAPH,MAT
3052,DATA FLOW INTEGRITY,OSV
3053,DATA LAYER,PLS
3054,DATA ONLY ATTACK,SS
3055,DATA ONLY ATTACKS,SS
3056,DATA TRANSFER,NS
3057,DATABASE,HS;WAM;HF;LR;SSL;RMG;SS;SO;AC;F;AAA;INTRO;C;OSV;DSS;NS;POR;AB;PLS
3058,DATABASE   BACKUP,SO
3059,DATABASE   INTERFACE LANGUAGES,OSV
3060,DATABASE   INTERFACE LANGUAGES   ONLINE ANALYTICAL PROCESSING  OLAP ,OSV
3061,DATABASE   INTERFACE LANGUAGES   OPEN DATABASE CONNECTIVITY  ODBC ,OSV
3062,DATABASE   MAINTENANCE,OSV
3063,DATABASE   MANAGEMENT SYSTEM  DBMS     ARCHITECTURE,OSV
3064,DATABASE   MODEL    OBJECT ORIENTED,OSV
3065,DATABASE   SECURITY,OSV
3066,DATABASE   VULNERABILITIES,MAT
3067,DATABASE ADMINISTRATOR  DBA ,RMG
3068,DATABASE ANONYMISATION,POR
3069,DATABASE INDEXING,SO
3070,DATABASE MANAGEMENT SYSTEM  DBMS ,OSV
3071,DATABASE QUERY,WAM;SS;POR
3072,DATABASE SPECIFICATIONS,OSV
3073,DATABASE SYSTEMS,OSV
3074,DATABASES,WAM;DSS;OSV
3075,DATABASES   ENCRYPTION,C
3076,DATAGRAM,NS;C
3077,DATAGRAM TLS,NS
3078,DATAGRAMS AND PROTOCOL DATA UNITS,NS
3079,DATALOG,AAA
3080,DATASET,SO;POR;MAT
3081,DATASETS,SO
3082,DATING APPLICATION,POR
3083,DAUBERT CRITERIA,F
3084,DBMS THREATS AND VULNERABILITIES,OSV
3085,DCB  DATA CENTER BRIDGING  STANDARDS,CPS
3086,DCB  DATA CENTER BRIDGING  STANDARDS   DCBX  DCB EXCHANGE PROTOCOL ,CPS
3087,DCB  DATA CENTER BRIDGING  STANDARDS   ETS  ENHANCED TRANSMISSION SELECTION ,CPS
3088,DCB  DATA CENTER BRIDGING  STANDARDS   PFC  PRIORITY BASED FLOW CONTROL ,CPS
3089,DCB  DATA CENTER BRIDGING  STANDARDS   QCN  QUANTIZED CONGESTION NOTIFICATION ,CPS
3090,DDOS  DISTRIBUTED DENIAL OF SERVICE  ATTACK,NS
3091,DDOS AND IOT DEVICE ATTACKS,CPS
3092,DDOS AND SPAM,NS;MAT
3093,DDOS AND THE INTERNET OF THINGS  IOT ,CPS
3094,DDOS ATTACKS,CPS
3095,DDOS DEFENCES,NS
3096,DDOS DETECTION,MAT
3097,DDOS AS A SERVICE,MAT
3098,DE MINIMIS EXCEPTION,LR
3099,DE MINIMIS EXCEPTIONS TO CRIMES AGAINST INFORMATION SYSTEMS,LR
3100,DE ANONYMISATION,LR
3101,DE IDENTIFICATION OBFUSCATION ANONYMIZATION,POR
3102,DE OBFUSCATION TOOLS,AC
3103,DE REFERENCING POINTER,OSV
3104,DEAD PEER DETECTION,AAA
3105,DEADLOCK,OSV
3106,DEADLOCKS,OSV
3107,DEADLOCKS  DOS ,OSV
3108,DEALLOCATED FILE,F
3109,DEALLOCATED MEMORY,SS
3110,DEANONYMISATION,NS;LR
3111,DEBIAN,AC
3112,DEBUGGING,SS;SO;F;SSL
3113,DECENTRALISED,WAM;DSS;POR;MAT
3114,DECENTRALISED CONTROL,DSS
3115,DECENTRALISED P2P MODELS,DSS
3116,DECENTRALISED POINT TO POINT INTERACTIONS ACROSS DISTRIBUTED ENTITIES WITHOUT A CENTRALISED COORDINATION SERVICE,DSS
3117,DECENTRALIZATION,DSS
3118,DECEPTION,AB
3119,DECIPHER,C
3120,DECIPHERMENT,LR
3121,DECISION ALGORITHM,AAA
3122,DECISION ALGORITHMS,AAA
3123,DECISION BOUNDARY,MAT
3124,DECISION DIFFIE HELLMAN PROBLEM,C
3125,DECISION PROCEDURE,FM
3126,DECISION PROCEDURES,FMS
3127,DECISION SUPPORT SYSTEM,SO
3128,DECISION SUPPORT SYSTEMS  DSS ,SO
3129,DECISION TREES,MAT
3130,DECISION MAKING,HF;POR;LR;SSL;RMG;F
3131,DECISIONISTIC,RMG
3132,DECISIONISTIC POLICY,RMG
3133,DECISIONS AND DISRUPTIONS,HF
3134,DECLARATION OF WAR,LR
3135,DECLARING AN INCIDENT: ALARM,SO
3136,DECLASSIFYING DATA,AAA
3137,DECODING,C
3138,DECODING ENCRYPTION,C
3139,DECOMPILATION,FM
3140,DECOY ROUTING,POR
3141,DECRYPTION,C
3142,DECRYPTION FAILURE,AC
3143,DECRYPTION KEY,C;FM
3144,DEEP CRACK,SSL
3145,DEEP LEARNING,MAT
3146,DEEP PROPERTY,FM
3147,DEEPSPEC,FM
3148,DEFAMATION,LR
3149,DEFAULT CONFIGURATION,CPS;SO;AB
3150,DEFAULT PASSWORD,SSL
3151,DEFAULT PASSWORDS AND CREDENTIALS,SSL
3152,DEFEATING THE KILL CHAIN ONE SKIRMISH AT A TIME,AB
3153,DEFENCE IN DEPTH,CPS
3154,DEFENCES,AC
3155,DEFEND TRADE SECRETS ACT,LR
3156,DEFENSE IN DEPTH,INTRO
3157,DEFENSE IN DEPTH,SSL
3158,DEFENSE IN DEPTH DESIGN,SSL
3159,DEFENSIVE CODING,SS
3160,DEFENSIVE PROGRAMMING,SS
3161,DEFIBRILLATOR,CPS
3162,DEFINE AND APPLY SECURE CODING STANDARDS AND GUIDELINES,SS
3163,DEFINE AUDITABLE EVENTS,SO
3164,DEFINE AUTHORITY STRUCTURE AND REPORTING,RMG
3165,DEFINE METRICS AND COMPLIANCE REPORTING,SSL
3166,DEFINE SCOPE AND CHARTER,RMG
3167,DEFINE SECURITY REQUIREMENTS,SSL
3168,DEFINE THE BEHAVIORAL BASELINE,SO
3169,DEFINING A RISK MANAGEMENT FRAMEWORK,RMG
3170,DEFINING AN INFORMATION SECURITY PROGRAM ROAD MAP,RMG
3171,DEFINING INCIDENT MANAGEMENT PROCEDURES,RMG
3172,DEFINING INCIDENT MANAGEMENT PROCESSES  CMU SED,SO
3173,DEFINING OBJECTIVES,RMG;SO
3174,DEFINING THE EXTERNAL ENVIRONMENT,RMG
3175,DEFINING THE INTERNAL ENVIRONMENT,RMG
3176,DEFINITION OF CYBER SECURITY,INTRO
3177,DEFINITIONS,INTRO;F;LR
3178,DEFINITIONS AND CONCEPTUAL MODELS,F
3179,DEFRAGMENTATION,NS
3180,DEGAUSS,HS
3181,DEGAUSSING,SO
3182,DEGRADED PERFORMANCE,SO;F
3183,DEGREE OF CERTAINTY,LR
3184,DELAY TOLERANT NETWORK,NS
3185,DELAY TOLERANT NETWORKS AND AD HOC SENSORS NETWORKS,NS
3186,DELEGATION AND REVOCATION,AAA
3187,DELEGATION LOGICS,AAA
3188,DELEGATION OF ACCESS RIGHTS,AAA
3189,DELEGATION POLICY,OSV
3190,DELETE PERMISSION,OSV
3191,DELETING DATA,LR
3192,DELIVER CONTENT,HF
3193,DELIVERABLES AND TIMELINE,RMG
3194,DELIVERY,AB;MAT
3195,DELPHI METHOD,RMG;POR
3196,DELPHI METHOD   EVENT TREE ANALYSIS,RMG
3197,DELPHI METHOD   FAULT TREE ANALYSIS,RMG
3198,DELTA RELEASE,SSL
3199,DEMAND MANAGEMENT,CPS
3200,DEMAND RESPONSE,CPS
3201,DEMATERIALISATION OF DOCUMENTS AND ELECTRONIC TRUST SERVICES,LR
3202,DEMILITARISED ZONE,NS;SO
3203,DEMILITARISED ZONE  DMZ ,SO
3204,DEMILITARIZED ZONE,SO
3205,DEMILITARIZED ZONE  DMZ ,NS
3206,DEMILITARIZED ZONES,SO
3207,DEMOCRACY,POR
3208,DEMOGRAPHICS,POR;AB
3209,DENIAL OF AUTHORIZATION,RMG
3210,DENIAL OF SERVICE,NS;CPS;POR;LR;SSL;AB;RMG;SO;MAT;AAA;OSV;DSS
3211,DENIAL OF SERVICE  DOS ,DSS
3212,DENIAL OF SERVICE  DOS  ATTACK,NS
3213,DENOTATIONAL SEMANTICS,FM
3214,DENSE WAVE DIVISION MULTIPLEXERS  DWDMS ,PLS
3215,DEP  DATA EXECUTION PREVENTION ,OSV
3216,DEPENDABLE COMPUTING,SS
3217,DEPENDENCIES,RMG;INTRO;F;SSL
3218,DEPENDENCIES SHALL NOT BE TRUSTED UNTIL PROVEN TRUSTWORTHY,SSL
3219,DEPENDENCY MODELLING,RMG
3220,DEPLOYING CRYPTOGRAPHY: SOME CHALLENGING SCENARIOS,C
3221,DEPLOYMENT MODELS,DSS
3222,DEPLOYMENT PIPELINE,SSL
3223,DEPLOYMENT PLANNING,SSL
3224,DEPRECIATION,CPS
3225,DEPTH FIRST SEARCH,DSS;MAT
3226,DEROGATIONS ALLOWING TRANSFERS,LR
3227,DES,C;AC;LR;SSL
3228,DES  DATA ENCRYPTION STANDARD ,C
3229,DES  DATA ENCRYPTION STANDARD    ADVANTAGES,C
3230,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE,C
3231,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE   ACCOUNTABILITY,C
3232,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE   AUTHORIZATION,C
3233,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE   CONTROLS,C
3234,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE   DEFENSE IN DEPTH,C
3235,DES  DATA ENCRYPTION STANDARD    ARCHITECTURE   DOCUMENTATION,C
